127.0.0.1, 2015-12-09 15:53:34, GET, /NivethaPart/static/css/images/menu-arrow_sprite.png, HTTP/1.1, 404, 0.000389
127.0.0.1, 2015-12-09 15:53:34, GET, /NivethaPart/static/css/images/trans-black_50.png, HTTP/1.1, 404, 0.000294
127.0.0.1, 2015-12-09 15:53:46, GET, /NivethaPart/default/user/login, HTTP/1.1, 200, 0.035679
127.0.0.1, 2015-12-09 15:54:00, POST, /NivethaPart/default/user/login, HTTP/1.1, 303, 0.037051
127.0.0.1, 2015-12-09 15:54:00, GET, /NivethaPart/default/user/login, HTTP/1.1, 200, 0.047759
127.0.0.1, 2015-12-09 15:54:08, POST, /NivethaPart/default/user/login, HTTP/1.1, 303, 0.029374
127.0.0.1, 2015-12-09 15:54:08, GET, /NivethaPart/default/user/login, HTTP/1.1, 200, 0.047260
127.0.0.1, 2015-12-09 15:54:16, POST, /NivethaPart/default/user/login, HTTP/1.1, 303, 0.029056
127.0.0.1, 2015-12-09 15:54:16, GET, /NivethaPart/default/user/login, HTTP/1.1, 200, 0.039910
127.0.0.1, 2015-12-09 15:54:20, GET, /NivethaPart/default/user/register, HTTP/1.1, 200, 0.046216
127.0.0.1, 2015-12-09 15:54:34, POST, /NivethaPart/default/user/register, HTTP/1.1, 303, 0.037583
127.0.0.1, 2015-12-09 15:54:34, GET, /NivethaPart/default/index, HTTP/1.1, 200, 0.043922
127.0.0.1, 2015-12-09 15:54:46, GET, /NivethaPart/default/about.html, HTTP/1.1, 200, 0.039679
127.0.0.1, 2015-12-09 15:54:50, GET, /NivethaPart/default/user/profile, HTTP/1.1, 200, 0.034631
127.0.0.1, 2015-12-09 15:54:54, POST, /NivethaPart/default/user/profile, HTTP/1.1, 303, 0.031938
127.0.0.1, 2015-12-09 15:54:54, GET, /NivethaPart/default/about, HTTP/1.1, 200, 0.039841
127.0.0.1, 2015-12-09 15:54:56, GET, /NivethaPart/default/user/logout, HTTP/1.1, 303, 0.027737
